name,team,battingStyle,bowlingStyle,playingRole,Status
Aaron Finch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Not Playing
AB deVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Not Playing
Abdul Basith,Royals,Right hand Bat,Right arm Offbreak,Allrounder,Not Playing
Abdul Samad,Sunrisers,Right hand Bat,Legbreak,Batter,Playing
Abhijeet Tomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter,Not Playing
Abhinav Manohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder,Playing
Abhishek Sharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Abishek Porel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Adam Milne,Mumbai,Right hand Bat,Right arm Fast,Bowler,Not Playing
Adam Zampa,Royals,Right hand Bat,Legbreak Googly,Bowler,Playing
Adil Rashid,Punjab Kings,Right hand Bat,Legbreak,Bowler,Not Playing
Aiden Markram,Sunrisers,Right hand Bat,Right arm Offbreak,Opening Batter,Playing
Ajinkya Rahane,Super Kings,Right hand Bat,Right arm Medium,Top order Batter,Playing
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Playing
Akash Madhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler,Playing
Akash Singh,Sunrisers,Right hand Bat,Left arm Medium fast,Bowler,Playing
Akeal Hosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,Not Playing
Alzarri Joseph,RCB,Right hand Bat,Right arm Fast,Bowler,Playing
Aman Hakim Khan,KKR,Right hand Bat,Right arm Medium,Allrounder,Not Playing
Ambati Rayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter,Not Playing
Amit Mishra,Super Giants,Right hand Bat,Legbreak,Bowler,Playing
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder,Playing
Andrew Tye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,Not Playing
Anmolpreet Singh,Sunrisers,Right hand Bat,Right arm Offbreak,Batter,Playing
Anrich Nortje,Capitals,Right hand Bat,Right arm Fast,Bowler,Playing
Anuj Rawat,RCB,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Anukul Roy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Arjun Tendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler,Playing
Arshad Khan,Mumbai,Left hand Bat,Left arm Medium,Bowler,Not Playing
Arshdeep Singh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler,Playing
Atharva Taide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,Playing
Avesh Khan,Royals,Right hand Bat,Right arm Fast medium,Bowler,Playing
Axar Patel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Playing
Ayush Badoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter,Playing
Baba Indrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter,Not Playing
Basil Thampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Ben Stokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder,Not Playing
Bhanuka Rajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter,Not Playing
Bhuvneshwar Kumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler,Playing
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,Playing
Chetan Sakariya,KKR,Left hand Bat,Left arm Medium fast,Bowler,Playing
Chris Gayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder,Not Playing
Chris Jordan,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Chris Lynn,Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter,Not Playing
Chris Morris,Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Not Playing
Chris Woakes,Capitals,Right hand Bat,Right arm Fast medium,Allrounder,Playing
Dan Christian,RCB,Right hand Bat,Right arm Fast medium,Allrounder,Not Playing
Daniel Sams,RCB,Right hand Bat,Left arm Fast medium,Allrounder,Not Playing
Darshan Nalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler,Playing
Daryl Mitchell,Super Kings,Right hand Bat,Right arm Medium,Batting Allrounder,Playing
Dasun Shanaka,Titans,Right hand Bat,Right arm Medium,Allrounder,Not Playing
David Miller,Titans,Left hand Bat,Right arm Offbreak,Middle order Batter,Playing
David Warner,Capitals,Left hand Bat,Legbreak,Opening Batter,Playing
David Wiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder,Not Playing
David Willey,Super Giants,Left hand Bat,Left arm Fast medium,Bowling Allrounder,Playing
Dawid Malan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter,Not Playing
Deepak Chahar,Super Kings,Right hand Bat,Right arm Medium,Bowler,Playing
Deepak Hooda,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Devdutt Padikkal,Super Giants,Left hand Bat,Right arm Offbreak,Top order Batter,Playing
Devon Conway,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Playing
Dewald Brevis,Mumbai,Right hand Bat,Legbreak,Batting Allrounder,Playing
Dhawal Kulkarni,Mumbai,Right hand Bat,Right arm Medium,Bowler,Not Playing
Dhruv Jurel,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Dinesh Karthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Playing
Duan Jansen,Mumbai,Right hand Bat,Left arm Fast,Bowler,Not Playing
Dushmantha Chameera,KKR,Right hand Bat,Right arm Fast,Bowler,Playing
Dwaine Pretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Not Playing
Dwayne Bravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder,Not Playing
Eoin Morgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter,Not Playing
Evin Lewis,Royals,Left hand Bat,Not Available,Opening Batter,Not Playing
Fabian Allen,Punjab Kings,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Not Playing
Fafdu Plessis,RCB,Right hand Bat,Legbreak,Middle order Batter,Playing
Fazalhaq Farooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler,Playing
George Garton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder,Not Playing
Glenn Maxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,Playing
Glenn Phillips,Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Gurnoor Brar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler,Not Playing
Harbhajan Singh,KKR,Right hand Bat,Right arm Offbreak,Bowler,Not Playing
Hardik Pandya,Mumbai,Right hand Bat,Right arm Medium fast,Allrounder,Playing
Harpreet Brar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler,Playing
Harpreet Singh,Punjab Kings,Left hand Bat,Right arm Medium,Batter,Not Playing
Harry Brook,Capitals,Right hand Bat,Right arm Medium,Batter,Playing
Harshal Patel,RCB,Right hand Bat,Right arm Medium,Bowler,Playing
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler,Playing
Heinrich Klaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Playing
Himanshu Sharma,RCB,Right hand Bat,Legbreak,Bowler,Playing
Hrithik Shokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler,Not Playing
Imran Tahir,Super Kings,Right hand Bat,Legbreak Googly,Bowler,Not Playing
Ishan Kishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Ishan Porel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler,Not Playing
Ishant Sharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler,Playing
Jagadeesha Suchith,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,Not Playing
Jalaj Saxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder,Not Playing
James Neesham,Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder,Not Playing
Jason Behrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler,Playing
Jason Holder,Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Not Playing
Jason Roy,KKR,Right hand Bat,Not Available,Opening Batter,Not Playing
Jasprit Bumrah,Mumbai,Right hand Bat,Right arm Fast,Bowler,Playing
Jayant Yadav,Titans,Right hand Bat,Right arm Offbreak,Bowler,Playing
Jaydev Unadkat,Sunrisers,Right hand Bat,Left arm Medium,Bowler,Playing
Jhye Richardson,Capitals,Right hand Bat,Right arm Fast,Bowler,Playing
Jitesh Sharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Joe Root,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,Not Playing
Jofra Archer,Mumbai,Right hand Bat,Right arm Fast,Bowler,Not Playing
Jonny Bairstow,Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Playing
Jos Buttler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Josh Hazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler,Not Playing
Joshua Little,Titans,Right hand Bat,Left arm Fast medium,Bowler,Playing
K LRahul,Super Giants,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
K MAsif,Super Kings,Right hand Bat,Right arm Medium,Bowler,Not Playing
Kagiso Rabada,Capitals,Left hand Bat,Right arm Fast,Bowler,Playing
Kamlesh Nagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler,Not Playing
Kane Richardson,RCB,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Kane Williamson,Titans,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Karan Sharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Karn Sharma,RCB,Left hand Bat,Legbreak Googly,Bowler,Not Playing
Kartik Tyagi,Titans,Right hand Bat,Right arm Fast,Bowler,Playing
Karun Nair,Royals,Right hand Bat,Right arm Offbreak,Top order Batter,Not Playing
Kedar Jadhav,Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder,Not Playing
Khaleel Ahmed,Capitals,Right hand Bat,Left arm Fast medium,Bowler,Playing
Kieron Pollard,Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder,Not Playing
Krishnappa Gowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Playing
Krunal Pandya,Super Giants,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Kuldeep Sen,Royals,Right hand Bat,Right arm Fast,Bowler,Playing
Kuldeep Yadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler,Playing
Kuldip Yadav,Royals,Left hand Bat,Left arm Fast medium,Bowler,Not Playing
Kulwant Khejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler,Not Playing
Kumar Kartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,Playing
Kyle Jamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Kyle Mayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder,Playing
Lalit Yadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Liam Livingstone,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,Playing
Litton Das,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Not Playing
Lockie Ferguson,RCB,Right hand Bat,Right arm Fast,Bowler,Playing
Lukman Meriwala,Capitals,Left hand Bat,Left arm Fast medium,Bowler,Not Playing
Lungi Ngidi,Capitals,Right hand Bat,Right arm Fast medium,Bowler,Playing
M S Dhoni,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Playing
M Shahrukh Khan,Titans,Right hand Bat,Right arm Offbreak,Batter,Playing
Maheesh Theekshana,Super Kings,Right hand Bat,Right arm Offbreak,Bowler,Playing
Mahipal Lomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Manan Vohra,Royals,Right hand Bat,Right arm Medium,Opening Batter,Not Playing
Mandeep Singh,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder,Not Playing
Manish Pandey,KKR,Right hand Bat,Right arm Medium,Top order Batter,Playing
Marco Jansen,Sunrisers,Right hand Bat,Left arm Medium fast,Bowling Allrounder,Playing
Marcus Stoinis,Super Giants,Right hand Bat,Right arm Medium,Batting Allrounder,Playing
Mark Wood,Super Giants,Right hand Bat,Right arm Fast,Bowler,Playing
Matheesha Pathirana,Super Kings,Right hand Bat,Right arm Fast,Bowler,Playing
Matthew Short,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Matthew Wade,Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Playing
Mayank Agarwal,Sunrisers,Right hand Bat,Right arm Offbreak,Batter,Playing
Mayank Dagar,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,Playing
Mayank Markande,Sunrisers,Right hand Bat,Legbreak,Bowler,Playing
Michael Bracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder,Not Playing
Mitchell Marsh,Capitals,Right hand Bat,Right arm Medium,Allrounder,Playing
Mitchell Santner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Playing
Moeen Ali,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder,Playing
Mohammad Nabi,Mumbai,Right hand Bat,Right arm Offbreak,Allrounder,Playing
Mohammed Shami,Titans,Right hand Bat,Right arm Fast,Bowler,Not Playing
Mohammed Siraj,RCB,Right hand Bat,Right arm Fast,Bowler,Playing
Mohit Rathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder,Not Playing
Mohit Sharma,Titans,Right hand Bat,Right arm Medium,Bowler,Playing
Mohsin Khan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler,Playing
Moises Henriques,Punjab Kings,Right hand Bat,Right arm Fast medium,Allrounder,Not Playing
Mujeeb Ur Rahman,KKR,Right hand Bat,Right arm Offbreak,Bowler,Playing
Mukesh Choudhary,Super Kings,Left hand Bat,Left arm Medium,Bowler,Playing
Mukesh Kumar,Capitals,Right hand Bat,Right arm Medium,Bowler,Playing
Murugan Ashwin,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler,Not Playing
Mustafizur Rahman,Super Kings,Left hand Bat,Left arm Fast medium,Bowler,Playing
Narayan Jagadeesan,Super Kings,Right hand Bat,Not Available,Opening Batter,Not Playing
Nathan Coulter-Nile,Mumbai,Right hand Bat,Right arm Fast,Bowling Allrounder,Not Playing
Nathan Ellis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,Playing
Navdeep Saini,Royals,Right hand Bat,Right arm Fast,Bowler,Playing
Naveen-ul- Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,Playing
Nehal Wadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter,Playing
Nicholas Pooran,Super Giants,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Playing
Nitish Kumar Reddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder,Playing
Nitish Rana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,Playing
Noor Ahmad,Titans,Right hand Bat,Left arm Wrist spin,Bowler,Playing
Obed McCoy,Royals,Left hand Bat,Left arm Fast medium,Bowler,Not Playing
Odean Smith,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Not Playing
Pat Cummins,Sunrisers,Right hand Bat,Right arm Fast,Bowler,Playing
Phil Salt,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Not Playing
Piyush Chawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder,Playing
Prabhsimran Singh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Pradeep Sangwan,Titans,Right hand Bat,Left arm Medium,Bowler,Not Playing
Prashant Solanki,Super Kings,Right hand Bat,Legbreak,Bowler,Playing
Prasidh Krishna,Royals,Right hand Bat,Right arm Fast medium,Bowler,Playing
Praveen Dubey,Capitals,Right hand Bat,Legbreak Googly,Bowler,Not Playing
Prerak Mankad,Super Giants,Right hand Bat,Right arm Medium,Allrounder,Playing
Prithvi Shaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter,Playing
Priyam Garg,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter,Not Playing
Quintonde Kock,Super Giants,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Raghav Goyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler,Not Playing
Rahmanullah Gurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Rahul Chahar,Mumbai,Right hand Bat,Legbreak Googly,Bowler,Playing
Rahul Tewatia,Titans,Left hand Bat,Legbreak,Bowling Allrounder,Playing
Rahul Tripathi,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter,Playing
Raj Bawa,Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder,Not Playing
Rajat Patidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Rajvardhan Hangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Playing
Ramandeep Singh,KKR,Right hand Bat,Right arm Medium,Middle order Batter,Playing
Rashid Khan,Titans,Right hand Bat,Legbreak Googly,Bowling Allrounder,Playing
Rasikh Salam,KKR,Right hand Bat,Right arm Medium,Bowler,Not Playing
Rassievander Dussen,Royals,Right hand Bat,Legbreak,Top order Batter,Not Playing
Ravi Bishnoi,Super Giants,Right hand Bat,Legbreak Googly,Bowler,Playing
Ravichandran Ashwin,Royals,Right hand Bat,Right arm Offbreak,Bowling Allrounder,Playing
Ravindra Jadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Reece Topley,RCB,Right hand Bat,Left arm Fast medium,Bowler,Playing
Rilee Rossouw,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter,Playing
Riley Meredith,Punjab Kings,Right hand Bat,Right arm Fast,Bowler,Not Playing
Rinku Singh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter,Playing
Ripal Patel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter,Not Playing
Rishabh Pant,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,Playing
Rishi Dhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder,Playing
Riyan Parag,Royals,Right hand Bat,Legbreak,Top order Batter,Playing
Robin Uthappa,Super Kings,Right hand Bat,Right arm Medium,Batter,Not Playing
Rohit Sharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Romario Shepherd,Mumbai,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Playing
Rovman Powell,Royals,Right hand Bat,Right arm Medium fast,Middle order Batter,Playing
Ruturaj Gaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter,Playing
Sachin Baby,RCB,Left hand Bat,Right arm Offbreak,Batter,Not Playing
Sai Kishore,Titans,Left hand Bat,Slow Left arm Orthodox,Bowler,Playing
Sai Sudharsan,Titans,Left hand Bat,Legbreak,Top order Batter,Playing
Sam Billings,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,Not Playing
Sam Curran,Super Kings,Left hand Bat,Left arm Medium fast,Allrounder,Playing
Sandeep Sharma,Royals,Right hand Bat,Right arm Medium,Bowler,Playing
Sandeep Warrier,KKR,Right hand Bat,Right arm Medium,Bowler,Not Playing
Sanjay Yadav,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder,Not Playing
Sanju Samson,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Sanvir Singh,Sunrisers,Right hand Bat,Right arm Medium,Allrounder,Playing
Sarfaraz Khan,Punjab Kings,Right hand Bat,Legbreak,Middle order Batter,Not Playing
Saurabh Tiwary,Mumbai,Left hand Bat,Not Available,Top order Batter,Not Playing
Sean Abbott,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Not Playing
Shahbaz Ahmed,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Shahbaz Nadeem,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler,Not Playing
Shakib AlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,Playing
Shardul Thakur,Super Kings,Right hand Bat,Right arm Medium,Bowler,Playing
Shashank Singh,Sunrisers,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,Playing
Sheldon Jackson,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,Not Playing
Sherfane Rutherford,KKR,Left hand Bat,Right arm Fast medium,Middle order Batter,Playing
Shikhar Dhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter,Playing
Shimron Hetmyer,Royals,Left hand Bat,Not Available,Top order Batter,Playing
Shivam Dube,Super Kings,Left hand Bat,Right arm Medium,Allrounder,Playing
Shivam Mavi,Super Giants,Right hand Bat,Right arm Fast medium,Bowler,Playing
Shreyas Gopal,Mumbai,Right hand Bat,Legbreak,Allrounder,Playing
Shreyas Iyer,KKR,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,Playing
Shubman Gill,GT,Right hand Bat,Right arm Offbreak,Opening Batter,Playing
Siddarth Kaul,Sunrisers,Right hand Bat,Right arm Medium,Bowler,Not Playing
Sikandar Raza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder,Playing
Simarjeet Singh,Super Kings,Right hand Bat,Right arm Medium fast,Bowler,Playing
Sisanda Magala,Super Kings,Right hand Bat,Right arm Fast medium,Bowler,Not Playing
Srikar Bharat,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Steven Smith,Capitals,Right hand Bat,Legbreak Googly,Top order Batter,Not Playing
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,Playing
Suresh Raina,Super Kings,Left hand Bat,Right arm Offbreak,Middle order Batter,Not Playing
Suryakumar Yadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Playing
Suyash Prabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder,Playing
Suyash Sharma,KKR,Right hand Bat,Legbreak Googly,Bowler,Playing
Swapnil Singh,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,Playing
T Natarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler,Playing
Tabraiz Shamsi,Royals,Right hand Bat,Left arm Wrist spin,Bowler,Not Playing
Tilak Varma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder,Playing
Tim David,Mumbai,Right hand Bat,Right arm Offbreak,Middle order Batter,Playing
Tim Seifert,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,Not Playing
Tim Southee,KKR,Right hand Bat,Right arm Medium fast,Bowler,Not Playing
Tom Curran,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Playing
Trent Boult,Royals,Right hand Bat,Left arm Fast medium,Bowler,Playing
Tristan Stubbs,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Playing
Tushar Deshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler,Playing
Tymal Mills,Mumbai,Right hand Bat,Left arm Fast,Bowler,Not Playing
Umesh Yadav,Titans,Right hand Bat,Right arm Fast,Bowler,Playing
Umran Malik,Sunrisers,Right hand Bat,Right arm Fast,Bowler,Playing
Vaibhav Arora,KKR,Right hand Bat,Right arm Fast medium,Bowler,Playing
Varun Aaron,Titans,Right hand Bat,Right arm Fast,Bowler,Not Playing
Varun Chakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler,Playing
Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder,Playing
Vijay Shankar,Titans,Right hand Bat,Right arm Medium,Allrounder,Playing
Vijaykumar Vyshak,RCB,Right hand Bat,Right arm Medium,Bowler,Playing
Virat Kohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,Playing
Virat Singh,Sunrisers,Left hand Bat,Legbreak Googly,Top order Batter,Playing
Vishnu Vinod,Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Vivrant Sharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder,Not Playing
Wanindu Hasaranga,Sunrisers,Right hand Bat,Legbreak,Allrounder,Playing
Washington Sundar,Sunrisers,Left hand Bat,Right arm Offbreak,Bowling Allrounder,Playing
Wayne Parnell,RCB,Left hand Bat,Left arm Medium fast,Bowler,Playing
Wriddhiman Saha,Titans,Right hand Bat,Not Available,Wicketkeeper Batter,Playing
Yash Dayal,RCB,Right hand Bat,Left arm Medium fast,Bowler,Playing
Yash Dhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter,Playing
Yash Thakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler,Playing
Yashasvi Jaiswal,Royals,Left hand Bat,Legbreak,Opening Batter,Playing
Yudhvir Singh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,Playing
Yuzvendra Chahal,Royals,Right hand Bat,Legbreak Googly,Bowler,Playing
